id,username,created_at,lng,lat,text
1517713309302206464,richarddaly,Sat Apr 23 03:53:45 +0000 2022,-9.0333065,51.903863,Time for a little R&amp;R https://t.co/ZgwHcaPYzt
1517713338712612867,ClubAfricana1,Sat Apr 23 03:53:52 +0000 2022,8.4332605,50.144532,#Rindswurst (#beefsausage) 🍆 = #BBC 🍆🤘🏿✌🏿👍🏿#Follow us on #WhatsApp1) https://t.co/m6WWOMa3Je2)… https://t.co/sYMsFqLAeH
1517713403162337280,Freda_Wa11ace,Sat Apr 23 03:54:07 +0000 2022,-2.4349524999999996,53.5841845,@MyfanwyMog @WeAreFairCop @CollegeofPolice What do you think they would do with your money ?
1517713409059524611,JohnGiles1871,Sat Apr 23 03:54:09 +0000 2022,-1.2548425,51.404908,@RxTLondon @midletonvrare Well done @RxTLondon for this....well deserved .......
1517713425022996482,AnnabelleMaster,Sat Apr 23 03:54:12 +0000 2022,18.247643500000002,59.3003715,@mssadieoshea Love this pic 🤩✨
1517713428881809415,NCISTIVES,Sat Apr 23 03:54:13 +0000 2022,-5.38496,50.194054,The Met Office Weather Forecast for today https://t.co/le85TK95Ad
1517713445252177926,donegalclaret,Sat Apr 23 03:54:17 +0000 2022,-7.866291,54.9210315,@LauraSavino747 Depression
1517713445201883136,DonStu_,Sat Apr 23 03:54:17 +0000 2022,-2.0362915,53.357307,"@UTDFIN5 @ManUtd Ahhh the old ""we can't be English"" compliant.Utterly bizzare"
1517713483126960128,LFtacnikova,Sat Apr 23 03:54:26 +0000 2022,19.699694,48.6726065,"@AGENTH0TCH @_Dr_Maura_Isles Sasha looks so good every time, Sasha is so beautiful lady ❤👌"
1517713522758758400,NewToMyHome,Sat Apr 23 03:54:36 +0000 2022,-8.5868532,52.4696508,"Ballinrea, Bruff, Co. Limerick ⇨ €385,000 | 4 Bed Detached House  For Sa.. | https://t.co/cgHv7Ty13c | #limerick #bruff"
1517713523555590145,PerfectPinkee,Sat Apr 23 03:54:36 +0000 2022,8.7320305,48.7046105,Wakenbake 💋 https://t.co/BYQCWxOGvF
1517713538692919296,ItranTrips,Sat Apr 23 03:54:40 +0000 2022,-5.8192,35.7611,"Just posted a photo @ Tangier, Morocco https://t.co/lwSFKsQFgO"
1517713569156112384,FeedTheSpud,Sat Apr 23 03:54:47 +0000 2022,-2.24143,53.484708,There’s no chance in hell I’m making kick off
1517713592946249728,nonleaguewriter,Sat Apr 23 03:54:52 +0000 2022,-2.147965,52.5801345,"Powerful. Remember, mental health matters"
1517713593860608000,Michael29109661,Sat Apr 23 03:54:53 +0000 2022,-3.2030085,55.9431955,@LikeGoinThisWay Fury looking down on him like that is really insulting and he knows it 🤣
1517713601011847169,Arrivaissues,Sat Apr 23 03:54:54 +0000 2022,-0.2631405,51.5651955,This a National service for the free riders who are given settlement packages from other countries! Otherwise they… https://t.co/LW5xAK1pOn
1517713608226095104,g_cairns77,Sat Apr 23 03:54:56 +0000 2022,0.135916,52.200974,I enjoyed ‘Tennis Pitches’.
1517713616308523009,iMaxsy,Sat Apr 23 03:54:58 +0000 2022,-0.2527539999999999,51.3854455,When i open the twitter https://t.co/2dffP9POKR
1517713621379432448,robbbbbbbd,Sat Apr 23 03:54:59 +0000 2022,-0.29742999999999997,51.514752,Google is getting stupider
1517713624176934915,LittleMissCosta,Sat Apr 23 03:55:00 +0000 2022,-1.7874955,52.447226,🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿 Happy St George's Day 🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿 https://t.co/gEDZFWJROV
